pool_name,base_mint,pool_address,deployed_at,closed_at,pnl_pct,pnl_usd,fees_earned_usd,fees_earned_sol,fee_earned_pct,range_efficiency,minutes_held,close_reason,close_category,band,strategy,volatility_at_deploy,fee_tvl_ratio,initial_fee_tvl_24h,organic_score
BURNIE-SOL,CGEDT9QZDvvH5GmVkWJH2BXiMJqMJySC9ihWyr7Spump,EgGACLzNtvTWfjWopkMbbcRsUPAaSCcgPjbNqUCcLUCJ,,2026-05-08T00:32:21.316Z,0.27,0.12,0.025249616435595743,,0.057246407589010805,100,85,Trailing TP (Band B): peak 1.76% → current 0.27% (drop 1.49% >= 0.75%),Trailing TP,B,bid_ask,1.8979,,,
PENGUIN-SOL,8Jx8AAHj86wbQgUTjGuj6GTTL5Ps3cqxKRTvpaJApump,FCL8pjNQsDAggZVczYfnn6tfbYoMnJykGT2cpdTULAxB,,2026-05-08T01:45:51.522Z,0.13,0.06,0.08430840720381702,,0.19107261419118649,98.4,128,Protective close (Band A): pumped above range but pnl 0.33% < 2% threshold,Protective Close,A,bid_ask,0.3888,,,
unc-SOL,ACtfUWtgvaXrQGNMiohTusi5jcx5RJf5zwu9aAxkpump,7AqRdscJbVd2m3o3kPnNQHSMHNwFUyWNU2NRctyteADb,,2026-05-08T00:59:42.235Z,-0.21,-0.09,0.01517709133134891,,0.034328752430797194,80.6,67,Upper OOR close (Band A): out of range for 12m (limit: 8m),OOR,A,bid_ask,0.9849,,,
unc-SOL,ACtfUWtgvaXrQGNMiohTusi5jcx5RJf5zwu9aAxkpump,7AqRdscJbVd2m3o3kPnNQHSMHNwFUyWNU2NRctyteADb,,2026-05-08T04:53:44.140Z,0.53,0.23,0.0710380235130905,,0.16171796241489397,96.3,164,Protective close (Band A): pumped above range but pnl 0.43% < 2% threshold,Protective Close,A,bid_ask,1.0719,,,
Goblin-SOL,3KHMZhpthXuiCcgfTv7vVu9PpEz64KAEURFwi6Lopump,453Z9ggMEdMnBiMLc5hHthxC3P4qhmhFUoTqkRnHDhqr,,2026-05-08T02:13:37.865Z,-0.32,-0.14,0.024569192426206754,,0.05570042061698551,93.9,66,Upper OOR close (Band B): out of range for 4m (limit: 4m),OOR,B,bid_ask,,,,
Aliens-SOL,F5tfztTnE4sYsMhZT5KrFpWvHmYSfJZoRjCuxKPbpump,Cy4ZW25mnXpwD1XUUio8V6bPjpVBDCXJ58fkcZaAKuoS,,2026-05-08T04:27:53.338Z,1.44,0.64,0.7994880975926291,,1.814906481442895,100,155,Trailing TP (Band B): peak 2.03% → current 1.20% (drop 0.83% >= 0.75%),Trailing TP,B,bid_ask,2.8763,,,
Punch-SOL,NV2RYH954cTJ3ckFUpvfqaQXU4ARqqDH3562nFSpump,HNPsPeDXAPN5keviUiJjzpGfATPNZb5PKpxtg1ex6kLp,,2026-05-08T02:58:53.558Z,-0.04,-0.02,0,,0,0,4,Upper OOR close (Band B): out of range for 4m (limit: 4m),OOR,B,bid_ask,2.582,,,
HENTAI-SOL,8jpRiwbUXLWH4yFQaF2TBDUkWDkfKWtBMX95sibTpump,8Ekpf8vdwW3woQZFV1cWu8PatZb5ZQuZAt9mDTMvDyb9,,2026-05-09T01:32:39.012Z,1.12,0.52,0.6068366168017706,,1.311196168855412,100,11,Trailing TP (Band B): peak 2.19% → current 1.07% (drop 1.12% >= 0.75%),Trailing TP,B,bid_ask,,,,
HENTAI-SOL,8jpRiwbUXLWH4yFQaF2TBDUkWDkfKWtBMX95sibTpump,8Ekpf8vdwW3woQZFV1cWu8PatZb5ZQuZAt9mDTMvDyb9,,2026-05-09T07:42:49.223Z,0.11,0.05,0.001129479196860958,,0.0024131712808400357,47.6,21,Upper OOR close (Band A): out of range for 11m (limit: 7m),OOR,A,bid_ask,,,,
HENTAI-SOL,8jpRiwbUXLWH4yFQaF2TBDUkWDkfKWtBMX95sibTpump,8Ekpf8vdwW3woQZFV1cWu8PatZb5ZQuZAt9mDTMvDyb9,,2026-05-09T15:32:39.005Z,4.86,2.27,3.151856318832769,,6.746649280458639,100,160,Trailing TP (Band A): peak 5.92% → current 5.13% (drop 0.79% >= 0.75%),Trailing TP,A,bid_ask,,,,
HENTAI-SOL,8jpRiwbUXLWH4yFQaF2TBDUkWDkfKWtBMX95sibTpump,8Ekpf8vdwW3woQZFV1cWu8PatZb5ZQuZAt9mDTMvDyb9,,2026-05-10T03:43:59.856Z,0.39,0.18,0.10865215117953377,,0.23311628667263534,100,7,Protective close (Band B): pumped above range but pnl 0.49% < 1.5% threshold,Protective Close,B,bid_ask,,,,
HENTAI-SOL,8jpRiwbUXLWH4yFQaF2TBDUkWDkfKWtBMX95sibTpump,8Ekpf8vdwW3woQZFV1cWu8PatZb5ZQuZAt9mDTMvDyb9,,2026-05-10T23:50:06.050Z,1.19,0.57,0.011906599010087506,,0.024943100714592083,89.4,94,Upper OOR close (Band B): out of range for 7m (limit: 4m),OOR,B,bid_ask,,,,
HENTAI-SOL,8jpRiwbUXLWH4yFQaF2TBDUkWDkfKWtBMX95sibTpump,8Ekpf8vdwW3woQZFV1cWu8PatZb5ZQuZAt9mDTMvDyb9,,2026-05-11T13:22:28.505Z,0.61,0.29,0.1527727981122935,,0.32198703127710654,86.7,60,Upper OOR close (Band B): out of range for 8m (limit: 4m),OOR,B,bid_ask,,,,
UAP-SOL,3jG3vjwbEuQCR3YkJKtLmH41jqHx9n36BBW1Kznkpump,ycZpnP2ThMqM2jzxdp7ppMdP1ayrvRhaJej4EjTYYoM,,2026-05-09T13:58:51.637Z,0.39,0.18,2.9199410572463997,,6.26170072174962,100,51,Trailing TP (Band A): peak 2.47% → current -0.95% (drop 3.42% >= 0.75%),Trailing TP,A,bid_ask,1.2,,,
UAP-SOL,3jG3vjwbEuQCR3YkJKtLmH41jqHx9n36BBW1Kznkpump,ycZpnP2ThMqM2jzxdp7ppMdP1ayrvRhaJej4EjTYYoM,,2026-05-09T21:10:54.144Z,-14.07,-6.56,2.4739972385355102,,5.305185481302567,99.1,114,Stop loss: PnL -16.20% <= -15% (bid_ask),Stop Loss,unknown,bid_ask,1.2,,,
Bear-SOL,8BuGJvmzrtKg1Pq31pdcabFk5UVdvykAYqNqPfWGpump,HFxS4ebpoeCjf7ukvwrv5pjyBWc9jXjBsHBTfiV9PuZX,,2026-05-09T18:42:56.559Z,-0.07,-0.03,0.001222192118596369,,0.0026168330136630944,20,5,Upper OOR close (Band B): out of range for 4m (limit: 4m),OOR,B,bid_ask,,,,
Bear-SOL,8BuGJvmzrtKg1Pq31pdcabFk5UVdvykAYqNqPfWGpump,HFxS4ebpoeCjf7ukvwrv5pjyBWc9jXjBsHBTfiV9PuZX,,2026-05-09T19:42:12.145Z,0.15,0.07,0.02555793872456065,,0.05481781868009083,78.6,14,Protective close (Band B): pumped above range but pnl 0.24% < 1.5% threshold,Protective Close,B,bid_ask,,,,
Bear-SOL,8BuGJvmzrtKg1Pq31pdcabFk5UVdvykAYqNqPfWGpump,HFxS4ebpoeCjf7ukvwrv5pjyBWc9jXjBsHBTfiV9PuZX,,2026-05-09T22:55:45.344Z,5.9,2.75,2.908765435264697,,6.236295651015593,100,123,Trailing TP (Band A): peak 6.60% → current 5.35% (drop 1.25% >= 1.25%),Trailing TP,A,bid_ask,,,,
Bear-SOL,8BuGJvmzrtKg1Pq31pdcabFk5UVdvykAYqNqPfWGpump,HFxS4ebpoeCjf7ukvwrv5pjyBWc9jXjBsHBTfiV9PuZX,,2026-05-11T00:40:04.803Z,0.48,0.23,0.13308085834775094,,0.27658347281741935,91,100,Upper OOR close (Band B): out of range for 6m (limit: 4m),OOR,B,bid_ask,,,,
LIMINAL-SOL,CYSVBkXuuDaZ4gNqzQPaWuoxejr6ZgTKLSJeGNdjpump,74RmdzhwHYCiLsFm5ex82cEampdgwGJLL5oLm5uo7L2x,,2026-05-09T20:15:44.248Z,-0.15,-0.07,0.000172074660231093,,0.00036846505055507836,55.6,9,Upper OOR close (Band B): out of range for 4m (limit: 4m),OOR,B,bid_ask,,,,
LIMINAL-SOL,CYSVBkXuuDaZ4gNqzQPaWuoxejr6ZgTKLSJeGNdjpump,74RmdzhwHYCiLsFm5ex82cEampdgwGJLL5oLm5uo7L2x,,2026-05-09T21:53:47.487Z,1.44,0.67,0.9954928679528968,,2.134605270572123,100,91,Trailing TP (Band B): peak 1.57% → current 0.80% (drop 0.77% >= 0.75%),Trailing TP,B,bid_ask,,,,
LIMINAL-SOL,CYSVBkXuuDaZ4gNqzQPaWuoxejr6ZgTKLSJeGNdjpump,74RmdzhwHYCiLsFm5ex82cEampdgwGJLL5oLm5uo7L2x,,2026-05-09T23:01:19.525Z,0.08,0.04,0.012573467191105971,,0.02693469427596248,82.1,39,Upper OOR close (Band A): out of range for 7m (limit: 7m),OOR,A,bid_ask,,,,
LIMINAL-SOL,CYSVBkXuuDaZ4gNqzQPaWuoxejr6ZgTKLSJeGNdjpump,74RmdzhwHYCiLsFm5ex82cEampdgwGJLL5oLm5uo7L2x,,2026-05-10T13:27:39.430Z,0.14,0.07,0.000109056464645801,,0.00023312444454859978,33.3,6,Upper OOR close (Band B): out of range for 4m (limit: 4m),OOR,B,bid_ask,,,,
LIMINAL-SOL,CYSVBkXuuDaZ4gNqzQPaWuoxejr6ZgTKLSJeGNdjpump,74RmdzhwHYCiLsFm5ex82cEampdgwGJLL5oLm5uo7L2x,,2026-05-11T01:58:46.116Z,-0.03,-0.02,0.000494735685700478,,0.0010298567659796833,21.4,14,Upper OOR close (Band A): out of range for 9m (limit: 7m),OOR,A,bid_ask,,,,
BABYTROLL-SOL,6qdzMx4c9rL2X3Ns3SwZ8uEo4zReDPjdXpAEmpo7pump,4fAQF2roWPBwWg5Z2pLaBkkxkbmtM94EKeBGNynLcAAW,,2026-05-11T21:11:23.458Z,-0.13,-0.06,7.7254418289412e-05,,0.0001583500654763416,0,4,Upper OOR close (Band B): out of range for 4m (limit: 4m),OOR,B,bid_ask,,,,
BABYTROLL-SOL,6qdzMx4c9rL2X3Ns3SwZ8uEo4zReDPjdXpAEmpo7pump,4fAQF2roWPBwWg5Z2pLaBkkxkbmtM94EKeBGNynLcAAW,,2026-05-12T05:45:25.790Z,0.12,0.06,0.023108653328667583,,0.04786747664303481,50,8,Upper OOR close (Band B): out of range for 4m (limit: 4m),OOR,B,bid_ask,,,,
BABYTROLL-SOL,6qdzMx4c9rL2X3Ns3SwZ8uEo4zReDPjdXpAEmpo7pump,4fAQF2roWPBwWg5Z2pLaBkkxkbmtM94EKeBGNynLcAAW,,2026-05-12T06:37:33.101Z,0.07,0.03,0.11708286740011511,,0.24242207952594758,66.7,30,Upper OOR close (Band A): out of range for 9m (limit: 7m),OOR,A,bid_ask,1,,,
CROWDCAM-SOL,FUkQZqqYSx4rgCRJfMoTyeFGbvN89a7Q1iMz11K8pump,7pJMzVjvYr5rAWJSjY4i7tGidZ5kgBmKGQBDz52NQW9R,,2026-05-12T03:46:35.984Z,-0.11,-0.06,0.00166111524535389,,0.0034517528963920415,60,10,Upper OOR close (Band B): out of range for 4m (limit: 4m),OOR,B,bid_ask,,,,
CROWDCAM-SOL,FUkQZqqYSx4rgCRJfMoTyeFGbvN89a7Q1iMz11K8pump,7pJMzVjvYr5rAWJSjY4i7tGidZ5kgBmKGQBDz52NQW9R,,2026-05-12T05:42:40.065Z,2.39,1.15,0.8609923436003541,,1.7922602846234397,100,96,Trailing TP (Band A): peak 3.48% → current 2.43% (drop 1.05% >= 0.75%),Trailing TP,A,bid_ask,1.2,,,
CROWDCAM-SOL,FUkQZqqYSx4rgCRJfMoTyeFGbvN89a7Q1iMz11K8pump,7pJMzVjvYr5rAWJSjY4i7tGidZ5kgBmKGQBDz52NQW9R,,2026-05-12T06:43:03.701Z,0.76,0.37,0.6053907764137169,,1.2560123915178916,100,6,Trailing TP (Band B): peak 2.52% → current 1.66% (drop 0.86% >= 0.75%),Trailing TP,B,bid_ask,,,,
SWATCH-SOL,FRZdAqPfrTbx264tRhVDSoGExUvYg5C6wwZSzCqypump,Ga3c6GjXsZtsLvyEdY2hrXupw8GsL3Wg2eMYTy3uqepW,,2026-05-12T06:42:46.402Z,-0.16,-0.08,0.19124560601459656,,0.39503839236825244,76.2,21,Upper OOR close (Band B): out of range for 5m (limit: 4m),OOR,B,bid_ask,,,,
